oldname,split,newname,casename
01_Service_postal_polonais_a_Danzig_Avis_consultatif.pdf,odd-english,PCIJ_B_11_PostalServiceDanzig_LNC_NA_1925-05-16_ADV_01_NA_00_BI.pdf,Polish Postal Service in Danzig
02_Service_postal_polonais_a_Danzig_Annexe.pdf,even-english,PCIJ_B_11_PostalServiceDanzig_LNC_NA_1925-05-16_ANX_01_NA_NA_BI.pdf,Polish Postal Service in Danzig
01_Article_3_du_traite_de_Lausanne_Avis_consultatif.pdf,odd-english,PCIJ_B_12_TreatyLausanne_LNC_NA_1925-11-21_ADV_01_NA_00_BI.pdf,Interpretation of Article 3‚ Paragraph 2‚ of the Treaty of Lausanne (Frontier between Turkey and Iraq)
02_Article_3_du_traite_de_Lausanne_Annexe.pdf,even-english,PCIJ_B_12_TreatyLausanne_LNC_NA_1925-11-21_ANX_01_NA_NA_BI.pdf,Interpretation of Article 3‚ Paragraph 2‚ of the Treaty of Lausanne (Frontier between Turkey and Iraq)
01_Competence_OIT_travail_personnel_du_patron_Avis_consultatif.pdf,odd-english,PCIJ_B_13_ILOCompetenceEmployer_LNC_NA_1926-07-23_ADV_01_NA_00_BI.pdf,"Competence of the ILO to Regulate, Incidentally, the Personal Work of the Employer"
02_Competence_OIT_travail_personnel_du_patron_Annexe.pdf,even-english,PCIJ_B_13_ILOCompetenceEmployer_LNC_NA_1926-07-23_ANX_01_NA_NA_BI.pdf,"Competence of the ILO to Regulate, Incidentally, the Personal Work of the Employer"
01_Commission_europeenne_du_Danube_Avis_consultatif.pdf,odd-english,PCIJ_B_14_DanubeCommission_LNC_NA_1927-12-08_ADV_01_NA_00_BI.pdf,Jurisdiction of the European Commission of the Danube between Galatz and Braila
02_Commission_europeenne_du_Danube_Opinion_Nyholm.pdf,even-english,PCIJ_B_14_DanubeCommission_LNC_NA_1927-12-08_ADV_01_NA_01_BI.pdf,Jurisdiction of the European Commission of the Danube between Galatz and Braila
03_Commission_europeenne_du_Danube_Observations_Moore.pdf,even-english,PCIJ_B_14_DanubeCommission_LNC_NA_1927-12-08_ADV_01_NA_02_BI.pdf,Jurisdiction of the European Commission of the Danube between Galatz and Braila
04_Commission_europeenne_du_Danube_Opinion_Negulesco.pdf,even-english,PCIJ_B_14_DanubeCommission_LNC_NA_1927-12-08_ADV_01_NA_03_BI.pdf,Jurisdiction of the European Commission of the Danube between Galatz and Braila
05_Commission_europeenne_du_Danube_Annexe.pdf,even-english,PCIJ_B_14_DanubeCommission_LNC_NA_1927-12-08_ANX_01_NA_NA_BI.pdf,Jurisdiction of the European Commission of the Danube between Galatz and Braila
01_Competence_des_tribunaux_de_Danzig_Avis_consultatif.pdf,odd-english,PCIJ_B_15_DanzigCourts_LNC_NA_1928-03-03_ADV_01_NA_00_BI.pdf,"Jurisdiction of the Courts of Danzig (Pecuniary Claims of Danzig Railway Officials who have passed into the Polish Service, against the Polish Railways Administration)"
02_Competence_des_tribunaux_de_Danzig_Annexe_1.pdf,even-english,PCIJ_B_15_DanzigCourts_LNC_NA_1928-03-03_ANX_01_NA_NA_BI.pdf,Jurisdiction of the Courts of Danzig
03_Competence_des_tribunaux_de_Danzig_Annexe_2.pdf,customsplit,PCIJ_B_15_DanzigCourts_LNC_NA_1928-03-03_ANX_02_NA_NA_BI.pdf,Jurisdiction of the Courts of Danzig
04_Competence_des_tribunaux_de_Danzig_Annexe_3.pdf,even-english,PCIJ_B_15_DanzigCourts_LNC_NA_1928-03-03_ANX_03_NA_NA_BI.pdf,Jurisdiction of the Courts of Danzig
01_Interpretation_de_l_Accord_greco-turc_Avis_consultatif.pdf,odd-english,PCIJ_B_16_GrecoTurkishAgreement_LNC_NA_1928-08-28_ADV_01_NA_00_BI.pdf,"Interpretation of the Greco-Turkish Agreement of December 1st, 1926 (Final Protocol‚ Article IV)"
02_Interpretation_de_l_Accord_greco-turc_Annexe.pdf,even-english,PCIJ_B_16_GrecoTurkishAgreement_LNC_NA_1928-08-28_ANX_01_NA_NA_BI.pdf,"Interpretation of the Greco-Turkish Agreement of December 1st, 1926 (Final Protocol‚ Article IV)"
01_Communautes_greco-bulgares_Avis_consultatif.pdf,odd-english,PCIJ_B_17_GrecoBulgarianCommunities_LNC_NA_1930-07-31_ADV_01_NA_00_BI.pdf,Greco-Bulgarian Communities
02_Communautes_greco-bulgares_Annexe_1.pdf,even-english,PCIJ_B_17_GrecoBulgarianCommunities_LNC_NA_1930-07-31_ANX_01_NA_NA_BI.pdf,Greco-Bulgarian Communities
03_Communautes_greco-bulgares_Annexe_2.pdf,even-english,PCIJ_B_17_GrecoBulgarianCommunities_LNC_NA_1930-07-31_ANX_02_NA_NA_BI.pdf,Greco-Bulgarian Communities
01_Ville_libre_de_Danzig_et_OIT_Avis_consultatif.pdf,odd-english,PCIJ_B_18_DanzigILO_LNC_NA_1930-08-26_ADV_01_NA_00_BI.pdf,Free City of Danzig and International Labour Organization
02_Ville_libre_de_Danzig_et_OIT_Opinion_Anzilotti.pdf,even-english,PCIJ_B_18_DanzigILO_LNC_NA_1930-08-26_ADV_01_NA_01_BI.pdf,Free City of Danzig and International Labour Organization
03_Ville_libre_de_Danzig_et_OIT_Opinion_Huber.pdf,even-english,PCIJ_B_18_DanzigILO_LNC_NA_1930-08-26_ADV_01_NA_02_BI.pdf,Free City of Danzig and International Labour Organization
